﻿Douban URL,Douban Book Title,Goodreads URL,Goodreads Book Title
https://book.douban.com/subject/2035171/,人生的枷锁,https://www.goodreads.com/book/show/31548.Of_Human_Bondage,Of Human Bondage
https://book.douban.com/subject/1856285/,人生若只如初见,https://www.goodreads.com/book/show/4573734,人生若只如初見
https://book.douban.com/subject/1083762/,人类的群星闪耀时,https://www.goodreads.com/book/show/59156.Decisive_Moments_in_History,Decisive Moments in History
https://book.douban.com/subject/25985021/,人类简史,https://www.goodreads.com/book/show/23692271-sapiens,Sapiens: A Brief History of Humankind
https://book.douban.com/subject/4011670/,人间失格,https://www.goodreads.com/book/show/194746.No_Longer_Human,No Longer Human
https://book.douban.com/subject/1253310/,人间草木,https://www.goodreads.com/book/show/35477508,人间草木
https://book.douban.com/subject/1203426/,人间词话,https://www.goodreads.com/book/show/18679501,人间词话
https://book.douban.com/subject/1102715/,从一到无穷大,https://www.goodreads.com/book/show/52670.One_Two_Three_Infinity,"One, Two, Three...Infinity: Facts and Speculations of Science"
https://book.douban.com/subject/25747921/,从你的全世界路过,https://www.goodreads.com/book/show/19549003,从你的全世界路过
https://book.douban.com/subject/3394338/,他的国,https://www.goodreads.com/book/show/18171758,他的国
https://book.douban.com/subject/1005521/,伊豆的舞女,https://www.goodreads.com/book/show/14030.The_Dancing_Girl_of_Izu_and_Other_Stories,The Dancing Girl of Izu and Other Stories
https://book.douban.com/subject/20507206/,众病之王,https://www.goodreads.com/book/show/7170627-the-emperor-of-all-maladies,The Emperor of All Maladies: A Biography of Cancer
https://book.douban.com/subject/1291760/,会有天使替我爱你,https://www.goodreads.com/book/show/10049464,会有天使替我爱你
https://book.douban.com/subject/1439216/,伯爵該隱 ~ 诅咒之子,https://www.goodreads.com/book/show/240981.The_Cain_Saga_Volume_01,"The Cain Saga, Volume 01"
https://book.douban.com/subject/2008284/,佐贺的超级阿嬷,https://www.goodreads.com/book/show/1546484._Saga_no_gabai_b_chan_,佐賀のがばいばあちゃん [Saga no gabai bāchan]
https://book.douban.com/subject/1461903/,何以笙箫默,https://www.goodreads.com/book/show/13097540,何以笙箫默
https://book.douban.com/subject/4872671/,佛祖在一号线,https://www.goodreads.com/book/show/34679679,佛祖在一号线
https://book.douban.com/subject/5366248/,你一定爱读的极简欧洲史,https://www.goodreads.com/book/show/6934913-the-shortest-history-of-europe,The Shortest History of Europe
https://book.douban.com/subject/26295448/,你一生的故事,https://www.goodreads.com/book/show/223380.Stories_of_Your_Life_and_Others,Stories of Your Life and Others
https://book.douban.com/subject/26602392/,你今天真好看,https://www.goodreads.com/book/show/20578515-the-little-world-of-liz-climo,The Little World of Liz Climo
https://book.douban.com/subject/4166819/,你好，旧时光（上 下）,https://www.goodreads.com/book/show/19224609---,你好，旧时光--三周年完美纪念版，套装全三册 (Chinese Edition)
https://book.douban.com/subject/33440205/,你当像鸟飞往你的山,https://www.goodreads.com/book/show/42616411-educated,Educated: A Memoir
https://book.douban.com/subject/1962929/,佳期如梦,https://www.goodreads.com/book/show/25051940,佳期如梦
https://book.douban.com/subject/1070851/,倚天屠龙记(共四册),https://www.goodreads.com/book/show/3231288-the-heavenly-sword-and-the-dragon-saber,倚天屠龍記 The Heavenly Sword and the Dragon Saber
https://book.douban.com/subject/1090043/,倾城之恋,https://www.goodreads.com/book/show/189123.Love_in_a_Fallen_City,Love in a Fallen City
https://book.douban.com/subject/2180619/,偷书贼,https://www.goodreads.com/book/show/19063.The_Book_Thief,The Book Thief
https://book.douban.com/subject/10763902/,偷影子的人,https://www.goodreads.com/book/show/22884916-the-shadow-thief,The Shadow Thief
https://book.douban.com/subject/1083428/,傲慢与偏见,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Pride and Prejudice
https://book.douban.com/subject/1009160/,像少年啦飞驰,https://www.goodreads.com/book/show/19286437,像少年啦飞驰
https://book.douban.com/subject/1401425/,兄弟（上）,https://www.goodreads.com/book/show/3920295-brothers,Brothers
https://book.douban.com/subject/33658616/,克莱因壶,https://www.goodreads.com/book/show/19016086,クラインの壷
https://book.douban.com/subject/10583099/,全球通史,https://www.goodreads.com/book/show/3961415-a-global-history,A Global History: From Prehistory to the 21st Century
https://book.douban.com/subject/1029159/,八月未央,https://www.goodreads.com/book/show/45695150,八月未央
https://book.douban.com/subject/1926700/,关于莉莉周的一切,https://www.goodreads.com/book/show/3153324-ririi-shiyushiyu-no-subete,リリイ・シュシュのすべて[Ririi Shiyushiyu no Subete]
https://book.douban.com/subject/1001193/,再见了，可鲁,https://www.goodreads.com/book/show/16065946-quill-the-life-of-a-guide-dog,Quill. The Life of a Guide Dog
https://book.douban.com/subject/10522856/,冬牧场,https://www.goodreads.com/book/show/54224001-winter-pasture,Winter Pasture: One Woman's Journey with China's Kazakh Herders
https://book.douban.com/subject/1336330/,冰与火之歌（卷一）,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,A Game of Thrones
https://book.douban.com/subject/1986291/,冰与火之歌（卷三）,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords,A Storm of Swords
